Year,Month,Day,Time,Min,Temperature(C),Absolute_Humidity(g/m^3),Radiation(Ldown-Lup)(Wm^2),Long_wave_downward(W/m^2),Long_wave_upward(W/m^2)
2025,12,1,19,30,21.48,16.193388336181677,-28.84899999999999,391.4223,420.2713
2025,12,1,19,40,21.43,16.165354706215968,-29.34839999999997,391.0364,420.3848
2025,12,1,19,50,21.5,16.13673935579486,-28.884599999999978,391.2234,420.108
2025,12,1,20,0,21.37,16.16540358500653,-28.894900000000007,391.0326,419.9275
2025,12,1,20,10,21.3,16.23040091518036,-28.408100000000047,391.1688,419.5769
2025,12,1,20,20,21.31,16.314391439582423,-27.745600000000024,391.9529,419.6985
2025,12,1,20,30,21.31,16.258456383218142,-28.44390000000004,390.9478,419.3917
2025,12,1,20,40,21.29,16.220995185915946,-28.094100000000022,391.2466,419.3407
2025,12,1,20,50,21.3,16.2676693443771,-28.6687,390.8305,419.4992
2025,12,1,21,0,21.34,16.32410344347533,-28.637100000000032,390.8701,419.5072
2025,12,1,21,10,21.42,16.34363838904939,-28.57389999999998,391.1157,419.6896
2025,12,1,21,20,21.38,16.361979234435136,-28.3648,391.1393,419.5041
2025,12,1,21,30,21.43,16.428206002252,-28.52140000000003,391.3042,419.8256
2025,12,1,21,40,21.43,16.484531279974007,-28.438600000000008,391.7289,420.1675
2025,12,1,21,50,21.48,16.569978762604503,-28.88630000000001,391.4538,420.3401
2025,12,1,22,0,21.42,16.56880906719932,-28.2611,391.8788,420.1399
2025,12,1,22,10,21.38,16.586628834907927,-28.6361,391.2824,419.9185
2025,12,1,22,20,21.4,16.530885640242072,-28.443100000000012,391.5583,420.0014
2025,12,1,22,30,21.43,16.522081465122014,-28.4221,391.5729,419.995
2025,12,1,22,40,21.38,16.586628834907927,-20.1934,400.5382,420.7316
2025,12,1,22,50,21.44,16.738296968852964,-23.998899999999992,396.7622,420.7611
2025,12,1,23,0,21.32,16.678310588814707,-23.791600000000017,396.2399,420.0315
2025,12,1,23,10,21.32,16.5850314468191,-26.473799999999983,393.2395,419.7133
2025,12,1,23,20,21.39,16.596239829362517,-27.19470000000001,392.6726,419.8673
2025,12,1,23,30,21.38,16.605349634947327,-27.50849999999997,392.1136,419.6221
2025,12,1,23,40,21.25,16.573605202028958,-26.44409999999999,391.7527,418.1968
2025,12,1,23,50,21.03,16.546777318497867,-27.103700000000003,390.7241,417.8278
2025,12,2,0,0,20.87,16.448131562980517,-25.337499999999977,391.2407,416.5782
2025,12,2,0,10,20.76,16.469604225452844,-11.103700000000003,407.0247,418.1284
2025,12,2,0,20,20.74,16.540628576653674,-14.604199999999992,404.4689,419.0731
2025,12,2,0,30,20.84,16.60088464152765,-1.963799999999992,419.1542,421.118
2025,12,2,0,40,20.94,16.642956061672674,-6.264299999999992,415.0265,421.2908
2025,12,2,0,50,20.98,16.66340115209985,-2.886599999999987,419.1714,422.058
2025,12,2,1,0,20.98,16.69998381105068,-1.3403999999999885,421.0915,422.4319
2025,12,2,1,10,20.98,16.736566470001502,-1.4185999999999694,421.2069,422.6255
2025,12,2,1,20,20.99,16.856106425093277,-3.2524999999999977,419.2085,422.461
2025,12,2,1,30,20.99,16.965918193334925,-1.86160000000001,421.0011,422.8627
2025,12,2,1,40,20.98,17.010936412132672,-1.8470000000000368,421.1278,422.9748
2025,12,2,1,50,20.92,17.079308327400007,-2.0785999999999945,420.8706,422.9492
2025,12,2,2,0,20.93,17.143955136751543,-1.829499999999996,421.1116,422.9411
2025,12,2,2,10,20.88,17.16692717649046,-1.9215999999999556,421.0262,422.9478
2025,12,2,2,20,20.84,17.181462027898014,-1.945600000000013,420.9573,422.9029
2025,12,2,2,30,20.78,17.15774103838199,-1.890800000000013,420.8109,422.7017
2025,12,2,2,40,20.52,16.9888378840992,-2.0014999999999645,419.8654,421.8669
2025,12,2,2,50,20.3,16.82481408568771,-2.267600000000016,418.4404,420.708
2025,12,2,3,0,20.26,16.838156613542253,-2.464999999999975,417.8501,420.3151
2025,12,2,3,10,20.25,16.828319110456768,-2.6423000000000343,417.8508,420.4931
2025,12,2,3,20,20.23,16.721113937557064,-2.582499999999982,417.8142,420.3967
2025,12,2,3,30,20.13,16.46695969351586,-2.44459999999998,417.1469,419.5915
2025,12,2,19,30,20.11,13.185981499257904,-30.28789999999998,380.4053,410.6932
2025,12,2,19,40,20.33,13.243940981932637,-30.098700000000008,381.2812,411.3799
2025,12,2,19,50,20.43,13.38526341763238,-29.26769999999999,382.6317,411.8994
2025,12,2,20,0,20.39,13.564361780730524,-29.19980000000004,383.0365,412.2363
2025,12,2,20,10,20.43,13.73247247399235,-28.50840000000005,384.0189,412.5273
2025,12,2,20,20,20.42,13.882029358438723,-28.55449999999996,383.9501,412.5046
2025,12,2,20,30,20.47,14.043333975506291,-28.51279999999997,384.3484,412.8612
2025,12,2,20,40,20.55,14.166098100956331,-28.18090000000001,385.1655,413.3464
2025,12,2,20,50,20.46,14.194854861511596,-27.46550000000002,385.5285,412.994
2025,12,2,21,0,20.51,14.154449710210049,-23.43110000000001,390.6268,414.0579
2025,12,2,21,10,20.52,14.182296112050944,-27.116899999999987,386.0862,413.2031
2025,12,2,21,20,20.34,14.09753008700902,-27.448399999999992,385.1914,412.6398
